Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0149,/TMA,Pryor,94.647,Porter,3.545,Magazine,1.801,Kessler,0.007,Sugar_Loaf,0
QAc-G-0150,/TMA,Kessler,99.938,Pryor,0.062,Magazine,0,Sugar_Loaf,0,Porter,0
QAc-G-0151,/TMA,Kessler,91.427,Pryor,8.487,Magazine,0.086,Porter,0,Sugar_Loaf,0
QAc-G-0152,/TMA,Magazine,84.608,Kessler,14.213,Pryor,1.179,Porter,0.001,Sugar_Loaf,0
QAc-G-0153,/TMA,Kessler,99.984,Pryor,0.016,Porter,0,Magazine,0,Sugar_Loaf,0
QAc-G-0154,/TMA,Magazine,91.412,Porter,8.314,Pryor,0.261,Kessler,0.013,Sugar_Loaf,0
QAc-G-0155,/TMA,Pryor,91.494,Kessler,8.34,Magazine,0.125,Porter,0.041,Sugar_Loaf,0
QAc-G-0158,/TMA,Magazine,95.603,Pryor,4.385,Kessler,0.011,Porter,0.001,Sugar_Loaf,0
QAc-G-0159,/TMA,Magazine,97.674,Porter,1.268,Kessler,1.059,Sugar_Loaf,0,Pryor,0
QAc-G-0160,/TMA,Kessler,99.849,Pryor,0.142,Magazine,0.01,Sugar_Loaf,0,Porter,0
QAc-G-0161,/TMA,Kessler,76.272,Magazine,23.616,Pryor,0.111,Sugar_Loaf,0,Porter,0
QAc-G-0162,/TMA,Kessler,72.184,Magazine,27.816,Porter,0,Sugar_Loaf,0,Pryor,0
QAc-G-0163,/TMA,Kessler,99.994,Magazine,0.006,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0164,/TMA,Kessler,94.603,Pryor,5.294,Magazine,0.102,Porter,0,Sugar_Loaf,0
QAc-G-0165,/TMA,Kessler,92.822,Magazine,7.178,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0166,/TMA,Kessler,86.086,Magazine,13.913,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0167,/TMA,Magazine,60.062,Kessler,39.919,Pryor,0.019,Porter,0,Sugar_Loaf,0
QAc-G-0168,/TMA,Kessler,95.935,Magazine,4.064,Pryor,0.001,Sugar_Loaf,0,Porter,0
QAc-G-0169,/TMA,Kessler,97.898,Porter,1.147,Pryor,0.952,Magazine,0.002,Sugar_Loaf,0.001
QAc-G-0170,/TMA,Kessler,99.993,Magazine,0.005,Pryor,0.002,Porter,0,Sugar_Loaf,0
QAc-G-0171,/TMA,Kessler,96.912,Magazine,3.059,Pryor,0.029,Porter,0,Sugar_Loaf,0
QAc-G-0172,/TMA,Kessler,54.326,Magazine,45.666,Pryor,0.008,Sugar_Loaf,0,Porter,0
QAc-G-0173,/TMA,Kessler,75.68,Magazine,24.293,Pryor,0.027,Porter,0,Sugar_Loaf,0
QAc-G-0174,/TMA,Magazine,97.82,Kessler,2.136,Pryor,0.044,Porter,0,Sugar_Loaf,0
QAc-G-0175,/TMA,Kessler,99.998,Magazine,0.002,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0176,/TMA,Kessler,99.944,Pryor,0.045,Magazine,0.011,Porter,0,Sugar_Loaf,0
QAc-G-0177,/TMA,Kessler,99.911,Pryor,0.088,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0178,/TMA,Kessler,83.328,Magazine,12.958,Pryor,3.693,Porter,0.02,Sugar_Loaf,0
QAc-G-0179,/TMA,Kessler,99.693,Magazine,0.307,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0180,/TMA,Kessler,99.987,Pryor,0.008,Magazine,0.004,Porter,0,Sugar_Loaf,0
QAc-G-0181,/TMA,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0182,/TMA,Kessler,67.815,Magazine,31.477,Pryor,0.708,Porter,0,Sugar_Loaf,0
QAc-G-0183,/TMA,Magazine,97.619,Pryor,2.266,Kessler,0.115,Sugar_Loaf,0,Porter,0
QAc-G-0184,/TMA,Kessler,99.735,Magazine,0.265,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0185,/TMA,Magazine,98.541,Kessler,1.459,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0186,/TMA,Kessler,99.999,Magazine,0.001,Porter,0,Pryor,0,Sugar_Loaf,0
QAc-G-0187,/TMA,Magazine,68.935,Kessler,31.059,Pryor,0.006,Sugar_Loaf,0,Porter,0
QAc-G-0188,/TMA,Kessler,96.073,Magazine,3.158,Pryor,0.711,Sugar_Loaf,0.059,Porter,0
QAc-G-0189,/TMA,Kessler,99.994,Pryor,0.006,Magazine,0,Porter,0,Sugar_Loaf,0
